trophospecies_id,sp_name,guild,n_lumped
1,1,terrestrial detritus,1
2,2,land plants,1
3,3,heterotrophic microbes,1
4,4,terrestrial fungi,1
5,5,terrestrial microbivores,1
6,6,terrestrial detritivores,1
7,7,terrestrial detritivores,1
8,8,mites,1
9,9,mites,1
10,10,small terrestrial arthropod predators,1
11,11,small terrestrial arthropod predators,1
12,12,small terrestrial arthropod predators,1
13,13,large terrestrial arthropod predators,1
14,14,large terrestrial arthropod predators,1
15,15,large terrestrial arthropod predators,1
16,16,large terrestrial arthropod predators,1
17,17,large terrestrial arthropod predators,1
18,18,aquatic detritus,1
19,19,aquatic heterotroph microbes,1
20,20,planktonic algae,1
21,21,benthic algae,1
22,22,macrophytic algae,1
23,23,aquatic fungi,1
24,24,nematodes,1
25,25,swimming filter feeders,1
26,26;29,swimming filter feeders,2
27,27,swimming scrapers,1
28,28,arthropod omnivores,1
30,30,benthic predators,1
