sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,terrestrial detritus,1,1,0,4,1,0,0,1,1.0,0.0
2,land plants,2,1,0,4,1,0,0,0,1.0,0.0
3,heterotrophic microbes,3,1,2,7,1,0,2,3,2.5,1.0
4,terrestrial fungi,4,1,3,7,1,0,1,4,2.0,1.0
5,terrestrial microbivores,5,1,3,8,1,0,1,1,2.0,1.0
6,terrestrial detritivores,6,2,4,8,1,0,1,3,2.0,1.0
7,terrestrial detritivores,6,2,4,8,1,0,1,2,2.0,1.0
8,mites,7,2,5,8,1,0,1,5,3.5,3.0
9,mites,7,2,5,8,1,0,4,3,3.0,2.0
10,small terrestrial arthropod predators,8,3,9,8,1,0,1,5,3.5,3.0
11,small terrestrial arthropod predators,8,3,9,8,1,0,4,4,4.285714285714286,4.0
12,small terrestrial arthropod predators,8,3,9,8,1,0,1,4,3.5,3.0
13,large terrestrial arthropod predators,9,5,13,5,1,0,9,3,4.764705882352941,4.0
14,large terrestrial arthropod predators,9,5,13,5,1,0,13,2,4.619047619047619,3.0
15,large terrestrial arthropod predators,9,5,13,5,1,0,6,2,4.666666666666666,3.0
16,large terrestrial arthropod predators,9,5,13,5,1,0,6,4,4.8,4.0
17,large terrestrial arthropod predators,9,5,13,5,1,0,1,2,4.5,4.0
18,aquatic detritus,10,1,0,5,0,1,0,3,1.0,0.0
19,aquatic heterotroph microbes,11,1,3,6,0,1,1,2,2.0,1.0
20,planktonic algae,12,1,0,7,0,1,0,4,1.0,0.0
21,benthic algae,13,1,0,10,1,1,0,6,1.0,0.0
22,macrophytic algae,14,1,0,4,0,1,0,1,1.0,0.0
23,aquatic fungi,15,1,5,4,0,1,5,2,2.5,1.0
24,nematodes,16,1,5,8,1,1,2,4,2.5,2.0
25,swimming filter feeders,17,2,2,2,0,1,1,1,3.0,2.0
26,swimming filter feeders,17,2,2,2,0,1,1,1,2.0,1.0
27,swimming scrapers,18,1,5,3,0,1,5,0,2.625,2.0
28,arthropod omnivores,19,2,13,3,0,1,1,1,2.0,1.0
29,arthropod omnivores,19,2,13,3,0,1,4,1,4.0,4.0
30,benthic predators,20,1,4,2,0,1,3,1,4.142857142857142,4.0
