consumer,resource,priority level
9,1,2
9,9,1
10,9,2
10,11,2
10,12,1
10,13,1
10,14,1
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
10,21,1
10,22,1
10,38,1
11,1,1
12,2,2
12,1,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
13,3,2
13,1,1
13,2,1
13,4,1
13,5,1
13,6,1
13,7,1
14,4,2
14,1,1
14,2,1
14,3,1
14,5,1
14,6,1
14,7,1
15,5,2
15,1,1
15,2,1
15,3,1
15,4,1
15,6,1
15,7,1
16,1,1
16,2,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
17,2,2
17,1,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
18,4,2
18,1,1
18,2,1
18,3,1
18,5,1
18,6,1
18,7,1
18,8,1
19,6,2
19,1,1
19,2,1
19,3,1
19,4,1
19,5,1
19,7,1
19,8,1
20,1,1
20,2,1
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,38,1
21,1,1
21,11,1
21,12,1
21,13,1
21,14,1
21,15,1
21,16,1
21,17,1
21,18,1
21,19,1
21,20,1
22,2,2
22,3,1
22,4,1
22,5,1
22,6,1
22,7,1
22,8,1
22,9,1
22,11,1
22,12,1
22,13,1
22,14,1
22,15,1
22,16,1
22,17,1
22,18,1
22,19,1
22,20,1
22,21,1
22,38,1
23,9,2
23,11,2
23,12,1
23,13,1
23,14,1
23,15,1
23,16,1
23,17,1
23,18,1
23,19,1
23,20,1
23,21,1
23,38,1
24,1,2
24,9,1
24,11,1
24,38,1
25,2,1
25,3,1
25,4,1
25,5,1
25,6,1
25,7,1
25,8,1
25,9,1
25,10,1
25,11,1
25,12,1
25,13,1
25,14,1
25,15,1
25,16,1
25,17,1
25,18,1
25,19,1
25,20,1
25,22,1
25,38,1
26,22,1
26,25,1
26,26,1
27,23,1
27,24,1
27,25,1
27,26,1
27,27,1
29,28,2
29,29,1
29,30,1
29,33,1
31,29,2
31,39,2
31,30,1
31,32,1
31,33,1
31,36,1
31,38,1
31,40,1
31,41,1
31,42,1
39,28,1
40,32,2
40,33,1
40,36,1
41,37,1
42,29,1
42,30,1
42,31,1
42,32,1
42,33,1
42,34,1
42,35,1
42,36,1
42,37,1
42,38,1
42,39,1
42,40,1
42,41,1
43,32,1
43,33,1
44,29,2
44,36,2
44,38,2
44,28,1
44,30,1
44,31,1
44,32,1
44,33,1
44,34,1
44,35,1
44,39,1
45,28,1
45,31,1
45,32,1
45,33,1
45,34,1
45,35,1
45,36,1
45,37,1
45,38,1
45,39,1
45,40,1
45,41,1
45,42,1
45,43,1
45,44,1
45,45,1
46,31,1
46,42,1
46,43,1
46,44,1
46,45,1